date,0x20240208,,,,,,,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,bpp,bpp,epp/epp-plus,epp/epp-plus,airvooc,airvooc,airsvooc,airsvooc,end
crc32,0xa5f7a4b7,NA,0xe16f1054,NA,0xcadf9b86,NA,0x7ab19a81,NA,0x86935caa,NA,0xbbe6322e,NA,0x9391055,NA,0x151ad664,NA,0x4c15a77a,NA,0x9fbde3a4,NA,0x1b39159a,NA,end
max_current,285,NA,1069,NA,1761,NA,10910,NA,1599,NA,5000,NA,3000,NA,450,NA,1000,NA,1150,NA,5000,NA,end
fcc,5260,NA,5396,NA,5318,NA,5124,NA,5076,NA,5054,NA,5180,NA,5056,NA,5014,NA,5156,NA,5006,NA,end
0,2373,285,562,1068,707,1758,66,6407,2310,1599,755,5058,196,3043,1838,472,824,1014,1991,1150,176,4993,end
1,3172,284,838,1069,488,1759,99,10910,587,1486,195,5101,299,3044,1838,472,824,1014,812,1150,176,4993,end
2,3194,282,838,1069,526,1759,92,9839,636,1477,139,5048,239,3046,1856,461,875,996,806,1150,194,4888,end
3,3215,282,878,1069,538,1759,90,9072,597,1475,199,4988,300,3052,1996,453,886,985,801,1150,148,4872,end
4,3267,280,888,1068,489,1759,99,9074,588,1473,199,4946,339,3046,1898,447,884,977,860,1150,199,4712,end
5,3308,278,862,1068,522,1760,99,9073,638,1473,149,4897,299,3053,2014,443,887,973,798,1150,189,4747,end
6,3153,279,867,1069,539,1759,99,9080,589,1471,189,4862,239,3048,1958,441,887,971,830,1150,199,4772,end
7,3366,279,839,1068,539,1760,99,9078,638,1469,147,4974,299,3048,2018,441,887,971,825,1150,149,4783,end
8,3214,278,874,1069,488,1760,101,9078,588,1468,198,4941,299,3052,1944,441,885,971,825,1150,199,4784,end
9,3219,278,875,1069,548,1760,89,9076,635,1467,198,4879,289,3051,2043,440,937,970,803,1149,199,4770,end
10,3341,278,886,1069,489,1760,118,8630,638,1462,138,4944,299,3057,1959,440,882,970,867,1147,139,4732,end
11,3241,278,829,1068,539,1760,99,9015,588,1460,198,4948,289,3058,2012,440,888,968,818,1145,195,4964,end
12,3225,277,889,1068,489,1760,97,9010,637,1458,191,5125,299,3052,1967,439,888,967,811,1145,199,5012,end
13,3223,278,888,1068,539,1761,95,9008,589,1455,139,5104,289,3054,2069,438,936,967,815,1142,170,4989,end
14,3360,277,826,1069,539,1760,99,9018,637,1453,199,5049,299,3059,1964,438,887,964,807,1140,187,3995,end
15,3226,276,886,1069,498,1760,101,7284,637,1450,149,4981,289,3058,2049,437,936,965,862,1138,248,3898,end
16,3290,275,838,1069,538,1760,149,7288,586,1449,197,5007,299,3058,1970,433,937,961,808,1135,199,3882,end
17,3380,275,879,1068,489,1761,99,7293,638,1447,188,4962,299,3058,2059,435,886,961,857,1131,248,3876,end
18,3269,275,869,1068,539,1759,149,7291,589,1445,149,4863,289,3057,1961,433,888,959,816,1131,239,3836,end
19,3288,274,837,1068,489,1761,89,7289,639,1444,192,5113,299,3058,2058,432,938,958,865,1130,199,3825,end
20,3421,274,877,1069,539,1761,149,7290,638,1441,149,5089,289,3059,2017,431,881,956,817,1128,248,3865,end
21,3232,273,839,1068,539,1761,99,7291,638,1440,182,5217,249,3059,2114,431,937,955,817,1127,249,3855,end
22,3305,272,888,1069,498,1760,149,7295,637,1440,199,4863,289,3058,1968,430,886,955,866,1128,188,3936,end
23,3307,272,838,1069,537,1760,99,7296,587,1439,149,4837,299,3061,2120,429,937,953,815,1127,247,3891,end
24,3389,272,875,1069,489,1760,139,7298,648,1437,189,4838,299,3063,1969,429,936,954,818,1125,249,3852,end
25,3314,272,888,1068,539,1759,99,7295,632,1437,198,4958,289,3063,2107,429,887,952,866,1124,199,3843,end
26,3281,272,838,1069,539,1759,149,7297,637,1438,149,4947,299,3063,2010,428,936,951,817,1123,249,3836,end
27,3468,272,878,1069,499,1759,99,7295,639,1434,197,5034,289,3061,2063,428,888,949,856,1124,239,3821,end
28,3293,271,832,1069,538,1759,149,7298,589,1435,139,4950,299,3064,2020,428,937,950,877,1122,249,3504,end
29,3305,272,887,1068,489,1759,99,7299,633,1435,199,4913,289,3061,2118,428,938,948,803,1124,249,3473,end
30,3427,271,838,1069,536,1759,149,7301,689,1432,188,5246,299,3063,2016,428,937,950,817,1121,239,3458,end
31,3331,271,889,1068,539,1758,109,7298,588,1434,149,5005,299,3064,2065,428,887,949,872,1121,248,3437,end
32,3277,271,838,1068,499,1758,144,7297,639,1432,189,5015,288,3062,2005,428,937,948,808,1118,297,3423,end
33,3344,271,878,1068,539,1756,99,7233,639,1430,198,5065,299,3068,2114,427,937,948,866,1121,248,3416,end
34,3441,271,886,1069,489,1756,140,7231,638,1429,149,5069,289,3065,2018,427,887,947,866,1120,238,3407,end
35,3323,269,838,1068,538,1756,149,7230,636,1429,189,4993,249,3061,2112,428,937,947,816,1117,298,3396,end
36,3309,270,889,1068,548,1754,93,7229,587,1427,149,4959,289,3061,2019,427,936,946,817,1118,249,3386,end
37,3438,271,838,1068,487,1753,149,5941,639,1424,198,4966,299,3066,2071,426,888,945,918,1115,248,3388,end
38,3381,270,887,1068,529,1750,149,5941,639,1423,199,4897,299,3068,2068,426,947,944,806,1116,288,3388,end
39,3262,270,838,1068,538,1751,149,5943,649,1422,139,4873,289,3063,2107,426,935,944,816,1113,249,3372,end
40,3501,269,888,1069,498,1751,149,5943,637,1421,199,4885,299,3065,2020,425,937,942,875,1113,249,3345,end
41,3346,269,877,1069,538,1746,199,5944,639,1420,193,5163,289,3070,2122,424,937,942,857,1113,238,3439,end
42,3388,269,839,1068,538,1744,139,5945,636,1418,149,5099,299,3066,2016,425,887,942,816,1111,296,3448,end
43,3289,269,886,1068,539,1743,149,5942,637,1416,189,5063,299,3070,2115,425,977,940,865,1111,248,3428,end
44,3540,268,838,1068,497,1740,149,5945,638,1414,149,5027,289,3071,2018,424,936,941,866,1111,248,3405,end
45,3296,269,887,1069,537,1738,149,5940,639,1413,194,5018,299,3069,2114,424,935,938,817,1108,238,3406,end
46,3391,268,839,1068,537,1738,149,5946,639,1411,189,4988,289,3071,2011,423,888,938,863,1107,298,3389,end
47,3473,268,888,1068,538,1732,149,5945,638,1409,149,4944,299,3066,2169,422,937,936,866,1105,249,3390,end
48,3376,268,836,1068,539,1730,149,5947,646,1407,199,4905,249,3067,2018,422,936,933,818,1104,238,3411,end
49,3390,268,888,1068,498,1730,199,5949,636,1405,173,4884,289,3068,2163,421,938,933,909,1103,248,3418,end
50,3443,267,838,1068,587,1729,149,5949,688,1401,286,2976,299,3070,2030,420,936,933,818,1100,298,3392,end
51,3442,266,838,1068,537,1724,149,5947,639,1399,297,2996,289,3072,2066,420,937,931,865,1098,248,3380,end
52,3334,267,887,1068,537,1725,143,5948,637,1400,288,2961,299,3072,2118,419,944,931,865,1098,238,3413,end
53,3429,266,835,1069,548,1718,149,5050,638,1394,297,2948,299,3072,2063,418,936,930,867,1094,298,3415,end
54,3490,265,888,1068,489,1715,199,5046,639,1392,337,2890,289,3072,2167,418,937,927,867,1090,248,3409,end
55,3448,264,888,1068,589,1711,199,5050,634,1391,297,2854,299,3072,2076,417,935,927,867,1090,248,3429,end
56,3389,264,837,1069,538,1710,139,5051,649,1386,292,3130,299,3072,2166,416,937,924,852,1090,238,3405,end
57,3582,264,876,1068,549,1705,199,5049,688,1385,287,3071,289,3075,2068,415,986,922,876,1086,298,3401,end
58,3431,263,835,1069,536,1705,199,5052,636,1383,298,2998,299,3075,2171,413,988,918,856,1084,248,3397,end
59,3425,262,888,1068,488,1701,149,5055,638,1380,168,4817,289,3075,2067,414,937,917,877,1082,238,3399,end
60,3591,262,838,1068,588,1700,199,5055,688,1378,196,5043,299,3075,2215,412,937,915,866,1080,297,3382,end
61,3399,261,887,1068,547,1695,199,5053,636,1376,144,5107,298,3072,2071,410,986,914,916,1079,247,3452,end
62,3480,261,884,1068,538,1696,149,5052,687,1372,198,5078,289,3073,2214,411,938,912,855,1075,248,3430,end
63,3449,260,837,1067,539,1693,198,5054,648,1369,188,4974,299,3073,2119,409,927,911,877,1074,238,3412,end
64,3640,260,888,1068,538,1692,199,5054,638,1368,149,4899,289,3073,2175,409,985,911,857,1071,297,3426,end
65,3446,259,838,1067,596,1692,149,5055,687,1365,195,4951,299,3076,2115,408,936,909,915,1073,248,3415,end
66,3536,259,888,1067,488,1691,199,5054,638,1361,198,4925,299,3075,2213,407,988,906,876,1070,248,3390,end
67,3586,259,834,1068,588,1687,199,5050,687,1359,139,4875,289,3076,2127,406,948,904,857,1066,288,3404,end
68,3483,258,886,1067,531,1667,149,5054,636,1356,197,5104,299,3075,2218,405,975,904,916,1065,248,3411,end
69,3490,258,888,1066,598,1642,186,4818,688,1354,192,5130,289,3076,2118,404,947,902,864,1062,247,3445,end
70,3633,257,837,1067,535,1639,249,4388,698,1352,149,5081,299,3075,2267,403,985,902,915,1063,238,3416,end
71,3545,256,886,1066,583,1593,299,2930,638,1348,188,5024,249,3076,2122,403,986,898,865,1060,297,3414,end
72,3492,256,834,1064,581,1593,299,2934,689,1344,149,4932,289,3076,2190,401,986,897,868,1055,248,3426,end
73,3578,255,887,1062,582,1569,339,2934,687,1342,195,4857,299,3075,2158,399,987,894,927,1054,247,3406,end
74,3628,255,888,1060,597,1566,299,2931,636,1339,287,3040,299,3074,2260,399,987,892,874,1053,237,3440,end
75,3564,254,838,1058,635,1543,299,2929,688,1336,296,2982,289,3075,2213,398,986,891,916,1049,297,3422,end
76,3539,253,885,1056,588,1519,299,2933,698,1333,297,2895,299,3074,2279,396,984,888,916,1046,245,3503,end
77,3680,253,883,1055,629,1516,349,2934,638,1330,283,2962,289,3076,2164,396,934,886,876,1045,248,3434,end
78,3590,252,887,1050,629,1492,299,2933,685,1327,345,2895,299,3076,2265,395,1036,884,908,1043,237,3439,end
79,3574,251,887,1049,591,1472,299,2935,686,1325,282,3119,299,3075,2226,394,987,882,916,1040,284,3480,end
80,3739,250,887,1046,666,1464,299,2934,735,1320,295,3024,289,3075,2280,394,986,881,917,1037,245,3495,end
81,3608,250,884,1043,627,1426,349,2934,635,1317,223,4161,299,3075,2208,393,987,878,909,1036,237,3425,end
82,3614,250,886,1040,686,1402,299,2933,688,1315,187,4044,289,3075,2325,392,987,877,917,1031,245,3486,end
83,3596,250,886,1038,619,1399,349,2935,688,1312,246,3923,299,3074,2208,392,984,877,916,1028,298,3416,end
84,3715,250,888,1035,684,1353,299,2934,697,1309,197,3945,299,3073,2311,391,986,874,915,1029,246,3455,end
85,3687,248,886,1033,726,1347,299,2932,687,1306,226,4139,289,3076,2218,389,1036,872,916,1025,237,3415,end
86,3584,247,883,1030,688,1305,349,2935,686,1301,246,4111,299,3082,2314,389,1037,869,915,1022,243,3494,end
87,3847,247,936,1028,729,1304,299,2937,687,1298,198,3986,289,3076,2256,388,986,868,918,1019,298,3429,end
88,3656,247,885,1026,697,1258,299,2938,721,1296,237,3892,299,3076,2312,387,1046,865,935,1017,245,3478,end
89,3636,245,887,1023,779,1235,299,2941,761,1213,226,3967,299,3075,2261,385,986,864,2170,432,237,3443,end
90,3882,245,935,1019,768,1232,299,2943,807,1119,245,3421,289,3082,2312,385,1034,861,2183,429,246,3450,end
91,3704,244,885,1018,731,1231,339,2946,854,1029,269,3364,298,3078,2258,384,986,859,2253,429,298,3427,end
92,3719,244,937,1016,805,1174,299,2941,993,944,348,2352,299,3076,2369,383,1036,857,2181,427,245,3490,end
93,3672,244,886,1014,844,1075,299,2944,1028,857,373,2469,257,3078,2269,381,986,856,2210,428,266,3336,end
94,3849,242,929,1009,946,983,299,2944,1172,774,377,2444,349,2583,2375,381,1058,854,2286,425,297,2962,end
95,3789,242,942,966,1038,892,289,2940,1301,690,386,2049,369,2583,2263,380,2117,412,2171,426,297,2967,end
96,3691,241,1081,877,1116,806,299,2938,1472,611,439,1998,448,2053,2407,380,2120,411,2167,426,292,3062,end
97,3909,241,1165,785,1341,718,298,2944,1692,527,483,1901,442,2050,2272,379,2131,410,2337,422,286,2957,end
98,3756,240,1304,701,1395,627,249,2944,2042,447,1425,530,537,1559,2363,379,2118,410,3004,308,318,2942,end
99,3743,240,1516,614,1253,543,289,2943,2266,359,1276,530,592,1555,2325,378,2119,409,1765,307,340,2545,end
end,end,238,end,524,end,end,end,end,end,278,end,end,end,end,end,end,end,end,end,end,end,end,end
